文物编号,ALR_Na2O,ALR_K2O,ALR_CaO,ALR_MgO,ALR_Al2O3,ALR_Fe2O3,ALR_CuO,ALR_PbO,ALR_BaO,ALR_P2O5,ALR_SrO,ALR_SnO2,ALR_SO2,CLR_SiO2,CLR_Na2O,CLR_K2O,CLR_CaO,CLR_MgO,CLR_Al2O3,CLR_Fe2O3,CLR_CuO,CLR_PbO,CLR_BaO,CLR_P2O5,CLR_SrO,CLR_SnO2,CLR_SO2
1,-5.155168444828554,-1.9372931202939367,-2.3951585047956327,-4.378139780287906,-2.8702382870732293,-3.6849925997279613,-2.8856232059127085,-7.139299806704066,-4.770756745918222,-4.081873964144735,-8.150900718382545,-5.799525461219067,-5.180486252812844,4.1735326351501,-0.9816358096784534,2.236239514856164,1.7783741303544678,-0.20460714513780603,1.3032943480768715,0.48854003542213925,1.2879094292373923,-2.9657671715539644,-0.5972241107681214,0.09165867100536641,-3.9773680832324443,-1.6259928260689667,-1.0069536176627434
2,-4.507557357121091,-3.542476461077504,-2.7411156958773257,-3.4257521867693628,-1.8455510945202875,-2.970690137521826,-4.938340273213545,0.2679883146425545,-4.123145658210759,-2.3187010294553883,-5.251997832068587,-5.151914373511604,-5.3060650533388625,3.2753799170031135,-1.2321774401179775,-0.26709654407439043,0.5342642211257875,-0.1503722697662491,1.429828822482826,0.30468977948128745,-1.6629603562104318,3.543368231645668,-0.8477657412076457,0.9566788875477252,-1.9766179150654732,-1.8765344565084907,-2.030685136335749
3,-5.225477820371079,-2.1367106808498986,-2.9380063651870816,-4.204827073172681,-2.7447465419935595,-3.53907886680085,-3.232479635216864,-4.495516666688418,-3.2583654636651627,-4.694849569308909,-6.61177218149097,-5.8698348367615925,-6.0239855165888505,3.9268322298639937,-1.298645590507085,1.7901215490140951,0.9888258646769124,-0.2779948433086872,1.1820856878704344,0.38775336306314356,0.6943525946471296,-0.5686844368244235,0.6684667661988312,-0.7680173394449149,-2.684939951626976,-1.9430026068975983,-2.097153286724857
4,-5.104125637183595,-1.9188065958442364,-2.224927179885555,-3.7431490840479937,-2.3253063651931773,-3.46512892250795,-3.4085100285084415,-7.088256999059106,-4.719713938273263,-4.42355723883051,-8.099857910737585,-5.748482653574108,-5.209486152841421,4.10566490760621,-0.9984607295773844,2.1868583117619735,1.8807377277206552,0.3625158235582164,1.7803585424130328,0.6405359850982604,0.6971548790977683,-2.9825920914528954,-0.6140490306670524,-0.3178923312242991,-3.9941930031313753,-1.6428177459678976,-1.1038212452352107
5,-5.0366278743705095,-1.7269976862338445,-2.1256368292716092,-3.5493575959106165,-2.1054341219540893,-3.1571628247233487,-2.9355471575871923,-7.02075923624602,-4.652216175460177,-4.1822125462144415,-6.933747859256391,-5.680984890761023,-4.875359726774387,3.8558603231974033,-1.1807675511731057,2.128862636963559,1.7302234939257946,0.30650272728678696,1.750426201243314,0.6986974984740548,0.9203131656102114,-3.1648989130486167,-0.7963558522627739,-0.32635222301703826,-3.0778875360589875,-1.825124567563619,-1.0194994035769835
6,-5.070946141200358,-2.136424598691263,-2.4664063164678125,-3.5367707132668045,-1.7938014082081812,-2.716005817872384,-3.3023700074279603,-5.445639590641768,-3.9933872617300805,-2.6867810612138894,-6.31747855994509,-5.7153031575908715,-5.8694538374181295,3.646483462262471,-1.424462678937887,1.5100588635712076,1.1800771457946582,0.10971274899566646,1.8526820540542897,0.9304776443900868,0.3441134548345106,-1.7991561283792976,-0.3469037994676099,0.9597024010485815,-2.6709950976826193,-2.0688196953284,-2.2229703751556587
7,-5.444903795140091,-7.429035157015602,-4.460954414792122,-5.976782828103914,-3.845516218559492,-6.300569905197811,-3.353039733461698,-7.429035157015602,-5.060492096229759,-5.022909385080716,-8.440636068694083,-6.089260811530604,-6.243411491357863,5.364039075869954,-0.08086471927013697,-2.064996081145648,0.9030846610778329,-0.61274375223396,1.5185228573104619,-0.9365308293278571,2.010999342408256,-2.064996081145648,0.30354697964019495,0.341129690789238,-3.0765969928241277,-0.7252217356606502,-0.8793724154879086
8,-3.9189986191645714,-5.903129981040083,-2.6106657995143925,-4.450877652128394,-2.710038273327596,-5.467811909782236,-0.6599410046635388,0.35349212844100336,0.4386712840045709,-1.7245556847902288,-3.9969601606342833,-4.563355635555085,-2.0549184883568903,2.6620778426079803,-1.256920776556591,-3.241052138432102,0.051412043093587885,-1.788799809520414,-0.04796043071961581,-2.8057340671742566,2.0021368379444415,3.0155699710489836,3.100749126612551,0.9375221578177515,-1.3348823180263027,-1.9012777929471043,0.6071593542510902
9,-5.47037812763293,-5.081720137841147,-5.032123196701775,-6.002257160596753,-4.276455659160495,-5.69352167894714,-4.11583246482762,-7.454509489508442,-5.085966428722599,-5.603909520257453,-8.46611040118692,-6.114735144023443,-6.268885823850702,5.333314659518387,-0.13706346811454304,0.25159452167723995,0.3011914628166122,-0.6689425010783662,1.0568590003578915,-0.3602070194287528,1.2174821946907672,-2.121194829990054,0.24734823079578883,-0.2705948607390658,-3.132795741668534,-0.7814204845050564,-0.9355711643323148
10,-5.488627760767006,-4.655718637831902,-6.132984777157519,-6.02050679373083,-4.7830580602085035,-5.91941067685946,-4.746690416037628,-7.472759122642517,-5.1042160618566745,-7.924744246385575,-8.484360034320996,-6.132984777157519,-6.287135456984778,5.65379977299578,0.16517201222877323,0.9980811351638773,-0.4791850041617401,-0.36670702073504985,0.8707417127872756,-0.26561090386368097,0.9071093569581505,-1.8189593496467378,0.5495837111391051,-2.270944473389795,-2.8305602613252177,-0.4791850041617399,-0.6333356839889983
11,-4.430519135498357,-5.07487615188887,-2.2586123661464272,-3.8567187125709776,-2.5246872100104536,-5.979332426116022,-1.9188894155696028,-0.27987300790761444,-0.8325221778615933,-1.275648640606068,-4.508480676968069,-5.07487615188887,-5.229026831716128,3.0888616360535037,-1.3416574994448527,-1.9860145158353661,0.8302492699070768,-0.7678570765174736,0.5641744260430501,-2.890470790062518,1.169972220483901,2.8089886281458893,2.2563394581919107,1.8132129954474359,-1.4196190409145646,-1.986014515835366,-2.1401651956626244
12,-5.462665871351741,-4.536424808624418,-4.874879206449622,-5.994544904315564,-4.167938703757341,-5.784249495479203,-4.045599851565097,-7.446797233227252,-5.078254172441409,-6.4434951243634675,-8.458398144905733,-6.1070228877422545,-6.261173567569513,5.332960283699473,-0.12970558765226853,0.7965354750750546,0.4580810772498503,-0.6615846206160917,1.1650215799421315,-0.4512892117797309,1.2873604321343757,-2.1138369495277796,0.25470611125806325,-1.110534840663995,-3.1254378612062594,-0.7740626040427817,-0.9282132838700403
13,-3.026885296237316,-1.5495811521611005,-1.9143838954085395,-5.525876685907056,-2.259630143523649,-3.0199166269212228,-2.523781718565236,-6.978129014818744,-4.609585954032901,-3.8386900205985772,-7.9897299264972235,-5.638354669333745,-5.792505349161004,3.904789318083308,0.8779040218459919,2.3552081659222077,1.9904054226747687,-1.6210873678237474,1.6451591745596592,0.8848726911620853,1.3810075995180724,-3.0733396967354354,-0.7047966359495924,0.06609929748473066,-4.084940608413915,-1.7335653512504374,-1.887716031077696
14,-2.916810732010551,-1.6267145187864822,-2.0269004268165003,-4.550201885467144,-1.9122273929907179,-4.827833622065424,-4.889709025783511,-3.652260292261186,-4.6665654744693015,-5.967267905253789,-8.046709446933624,-5.695334189770147,-5.849484869597405,4.0448585558718415,1.1280478238612908,2.4181440370853595,2.0179581290553417,-0.5053433295953025,2.132631162881124,-0.782975066193582,-0.8448504699116695,0.39259826361065614,-0.62170691859746,-1.9224093493819467,-4.001850891061783,-1.650475633898305,-1.8046263137255634
16,-3.435215328680038,-1.5016256640127656,-2.064518164373816,-4.83107914081608,-2.3558344019398163,-5.044653241114139,-4.109494024935601,-6.384427586599136,-4.7090317063732385,-7.529559890902139,-7.396028498277617,-5.737800421674084,-5.891951101501342,4.356515655085701,0.9213003264056627,2.8548899910729353,2.291997490711885,-0.47456348573037865,2.000681253145885,-0.6881375860284378,0.24702163015010026,-2.0279119315134353,-0.35251605128753793,-3.173044235816438,-3.039512843191915,-1.381284766588383,-1.5354354464156414
18,-5.2915444822606075,-2.132418661798181,-6.629048679211066,-3.949986014982109,-3.2601121597671328,-6.840357772878273,-7.275675844136119,-7.275675844136119,-4.907132783350276,-4.067769050638492,-7.034513787319231,-3.516592131348934,-6.09005217847838,4.87649138502178,-0.4150530972388277,2.744072723223599,-1.7525572941892864,0.9265053700396714,1.6163792252546474,-1.9638663878564933,-2.399184459114339,-2.399184459114339,-0.030641398328495963,0.808722334383288,-2.158022402297451,1.3598992536728458,-1.2135607934565995
19,-4.3054155323020415,-6.289546894177552,-2.31412237739891,-3.916757542510258,-2.1165592046363386,-3.1039458581942236,-2.133508762950112,0.36788048273365065,-1.712028239519971,-1.2109697858120174,-5.049856007249537,-4.949772548692555,-5.103923228519813,2.9884661070878344,-1.3169494252142069,-3.301080787089718,0.6743437296889242,-0.9282914354224238,0.8719069024514957,-0.1154797511063894,0.8549573441377226,3.356346589821485,1.2764378675678634,1.7774963212758168,-2.0613899001617026,-1.9613064416047201,-2.1154571214319784
20,-4.536891345234797,-3.9630909223074178,-5.874395542185256,-5.06877037819862,-1.924985004685489,-3.208490962533809,-2.0561600668572773,-1.3905862132014315,-0.461474792898215,-1.8714007585513828,-7.532623618788788,-5.18124836162531,-5.335399041452568,3.457536929180026,-1.079354416054771,-0.505553993127392,-2.4168586130052296,-1.6112334490185942,1.5325519244945367,0.249045966646217,1.4013768623227485,2.0669507159785945,2.996062136281811,1.586136170628643,-4.075086689608762,-1.7237114324452845,-1.8778621122725427
21,-5.255931650051599,-7.24006301192711,-2.7899530101491177,-4.140790059432279,-2.516705831480939,-3.476750963030404,-3.1517974957813917,-4.339640918177444,-3.661607375427547,-4.244330738373119,-8.251663923605589,-5.900288666442112,-6.054439346269371,4.358854499296287,-0.8970771507553115,-2.8812085126308227,1.5689014891471698,0.21806443986400859,1.8421486678153483,0.8821035362658834,1.2070570035148958,0.01921358111884352,0.6972471238687407,0.11452376092316836,-3.8928094243093025,-1.5414341671458247,-1.6955848469730832
22,-5.441876438519404,-4.82669079942917,-4.018768104276797,-4.971872809273668,-3.272822738149881,-5.575407831143926,-5.123422707400869,-7.426007800394915,-5.057464739609072,-6.086233454909918,-8.437608712073395,-6.086233454909917,-6.240384134737176,5.183199551773437,-0.2586768867459674,0.356508752344266,1.1644314474966395,0.21132674249976818,1.9103768136235557,-0.39220827937049013,0.05977684437256729,-2.2428082486214787,0.12573481216436433,-0.9030339031364808,-3.2544091602999585,-0.9030339031364807,-1.0571845829637392
24,-4.380149874661021,-6.364281236536533,-4.2188817270648995,-4.912028907624845,-3.000125126554726,-5.928963165278687,-1.3285099691687343,-0.09174734201980767,-0.19695534890808405,-5.429971999159699,-3.5581698222581077,-5.0245068910515345,-5.178657570878793,3.5437820700832483,-0.8363678045777734,-2.8204991664532844,-0.6750996569816511,-1.3682468375415964,0.5436569435285219,-2.385181095195439,2.2152721009145138,3.4520347280634405,3.346826721175164,-1.886189929076451,-0.01438775217485964,-1.4807248209682866,-1.634875500795545
26,-3.9014674914886296,-5.88559885336414,-2.620533646026565,-4.433346524452452,-3.341851703553207,-5.450280782106295,-0.6271569597323281,0.400229936141357,0.48834128362730717,-1.8441437550624125,-3.7836844558322458,-4.545824507879143,-2.3122322863720486,2.704110696150057,-1.197356795338572,-3.1814881572140834,0.08357705012349213,-1.7292358283023954,-0.6377410074031497,-2.7461700859562375,2.076953736417729,3.104340632291414,3.1924519797773643,0.8599669410876448,-1.0795737596821888,-1.8417138117290852,0.3918784097780087
27,-5.445874930905651,-7.4300062927811625,-4.591459602749584,-5.145770338455313,-3.609301445887804,-6.1390221114655965,-4.097801782605958,-7.4300062927811625,-5.06146323199532,-5.551235446563478,-8.441607204459642,-6.090231947296164,-6.244382627123423,5.3770116610764465,-0.0688632698292044,-2.0529946317047156,0.785552058326863,0.2312413226211337,1.767710215188643,-0.7620104503891497,1.2792098784704884,-2.0529946317047156,0.3155484290811274,-0.17422378548703082,-3.0645955433831955,-0.7132202862197177,-0.8673709660469762
30,-4.4896190328279895,-3.2297385965637573,-2.0997101116622687,-3.867699361556412,-2.161122558049443,-2.685437043601377,-6.4737503947035,0.07681032484367158,-1.2392445409004174,-3.2297385965637573,-4.452805059705273,-4.440828868658557,-5.288126729045761,3.1129293263567743,-1.376689706471215,-0.1168092702069831,1.0132192146945056,-0.7547700351996375,0.9518067683073316,0.42749228275539725,-3.360821068346726,3.189739651200446,1.8736847854563567,-0.1168092702069831,-1.3398757333484987,-1.3278995423017828,-2.175197402688987
31,-5.104580906938784,-7.0887122688142945,-3.7182865458188927,-4.30482399132058,-3.053667448873486,-2.6644101509921745,-5.009270727134458,-1.3819040732415566,-2.9586496239901146,-3.7058640258203357,-5.392262979390565,-5.748937923329297,-5.903088603156555,4.002461376344364,-1.1021195305944196,-3.0862508924699306,0.284174830525471,-0.30236261497621614,0.9487939274708781,1.338051225352189,-1.0068093507900948,2.620557303102807,1.043811752354249,0.29659735052402814,-1.3898016030462006,-1.746476546984933,-1.9006272268121913
32,-5.1606345113724625,-5.804991527762976,-5.020872568997303,-5.692513544336285,-3.3856821604607887,-4.244343779498307,-6.451618692688029,-1.2606840871785854,-2.6591985596332512,-6.016300621430182,-8.156366784926453,-5.804991527762976,-5.959142207590234,4.686952898116988,-0.4736816132554741,-1.1180386296459877,-0.3339196708803155,-1.0055606462192974,1.3012707376561994,0.44260911861868085,-1.76466579457104,3.4262688109384025,2.0277543384837364,-1.3293477233131945,-3.4694138868094653,-1.1180386296459874,-1.272189309473246
33,-5.240555829689489,-6.221385082701215,-4.7705522004437535,-4.324265097815334,-3.4698497696592665,-6.789369120307155,-5.0792876820933675,-1.541726044722385,-3.05731749432801,-6.364485926341889,-8.23628810324348,-5.884912846080002,-6.0390635259072605,4.787075623095187,-0.453480206594303,-1.4343094596060293,0.01652342265143251,0.46281052527985206,1.3172258534359198,-2.0022934972119684,-0.29221205899818076,3.2453495783728012,1.7297581287671764,-1.5774103032467026,-3.449212480148294,-1.0978372229848161,-1.2519879028120746
