文物编号,类型,纹饰,颜色,表面风化,普通点数,部位点数,未风化点数,严重风化点数,颜色是否缺失
1,高钾,C,蓝绿,无风化,1,0,0,0,False
2,铅钡,A,浅蓝,风化,1,0,0,0,False
3,高钾,A,蓝绿,无风化,0,2,0,0,False
4,高钾,A,蓝绿,无风化,1,0,0,0,False
5,高钾,A,蓝绿,无风化,1,0,0,0,False
6,高钾,A,蓝绿,无风化,0,2,0,0,False
7,高钾,B,蓝绿,风化,1,0,0,0,False
8,铅钡,C,紫,风化,1,0,0,1,False
9,高钾,B,蓝绿,风化,1,0,0,0,False
10,高钾,B,蓝绿,风化,1,0,0,0,False
11,铅钡,C,浅蓝,风化,1,0,0,0,False
12,高钾,B,蓝绿,风化,1,0,0,0,False
13,高钾,C,浅蓝,无风化,1,0,0,0,False
14,高钾,C,深绿,无风化,1,0,0,0,False
15,高钾,C,浅蓝,无风化,1,0,0,0,False
16,高钾,C,浅蓝,无风化,1,0,0,0,False
17,高钾,C,浅蓝,无风化,1,0,0,0,False
18,高钾,A,深蓝,无风化,1,0,0,0,False
19,铅钡,A,,风化,1,0,0,0,True
20,铅钡,A,浅蓝,无风化,1,0,0,0,False
21,高钾,A,蓝绿,无风化,1,0,0,0,False
22,高钾,B,蓝绿,风化,1,0,0,0,False
23,铅钡,A,蓝绿,风化,0,0,1,0,False
24,铅钡,C,紫,无风化,1,0,0,0,False
25,铅钡,C,浅蓝,风化,0,0,1,0,False
26,铅钡,C,紫,风化,1,0,0,1,False
27,高钾,B,蓝绿,风化,1,0,0,0,False
28,铅钡,A,浅蓝,风化,0,0,1,0,False
29,铅钡,A,浅蓝,风化,0,0,1,0,False
30,铅钡,A,深蓝,无风化,0,2,0,0,False
31,铅钡,C,紫,无风化,1,0,0,0,False
32,铅钡,C,浅绿,无风化,1,0,0,0,False
33,铅钡,C,深绿,无风化,1,0,0,0,False
34,铅钡,C,深绿,风化,1,0,0,0,False
35,铅钡,C,浅绿,无风化,1,0,0,0,False
36,铅钡,C,深绿,风化,1,0,0,0,False
37,铅钡,C,深绿,无风化,1,0,0,0,False
38,铅钡,C,深绿,风化,1,0,0,0,False
39,铅钡,C,深绿,风化,1,0,0,0,False
40,铅钡,C,,风化,1,0,0,0,True
41,铅钡,C,浅绿,风化,1,0,0,0,False
42,铅钡,A,浅蓝,风化,0,0,2,0,False
43,铅钡,C,浅蓝,风化,0,2,0,0,False
44,铅钡,A,浅蓝,风化,0,0,1,0,False
45,铅钡,A,浅蓝,无风化,1,0,0,0,False
46,铅钡,A,浅蓝,无风化,1,0,0,0,False
47,铅钡,A,浅蓝,无风化,1,0,0,0,False
48,铅钡,A,,风化,1,0,0,0,True
49,铅钡,A,黑,风化,1,0,1,0,False
50,铅钡,A,黑,风化,1,0,1,0,False
51,铅钡,C,浅蓝,风化,0,2,0,0,False
52,铅钡,C,浅蓝,风化,1,0,0,0,False
53,铅钡,A,浅蓝,风化,0,0,1,0,False
54,铅钡,C,浅蓝,风化,1,0,0,1,False
55,铅钡,C,绿,无风化,1,0,0,0,False
56,铅钡,C,蓝绿,风化,1,0,0,0,False
57,铅钡,C,蓝绿,风化,1,0,0,0,False
58,铅钡,C,,风化,1,0,0,0,True
