文物编号,类型,表面风化,风化程度,成分数据来源,成分累加和,是否有效,填0_SiO2,填0_Na2O,填0_K2O,填0_CaO,填0_MgO,填0_Al2O3,填0_Fe2O3,填0_CuO,填0_PbO,填0_BaO,填0_P2O5,填0_SrO,填0_SnO2,填0_SO2,ALR_Na2O,ALR_K2O,ALR_CaO,ALR_MgO,ALR_Al2O3,ALR_Fe2O3,ALR_CuO,ALR_PbO,ALR_BaO,ALR_P2O5,ALR_SrO,ALR_SnO2,ALR_SO2
1,高钾,无风化,0,主采样点均值,97.61,True,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39,-5.155168444828554,-1.9372931202939367,-2.3951585047956327,-4.378139780287906,-2.8702382870732293,-3.6849925997279613,-2.8856232059127085,-7.139299806704066,-4.770756745918222,-4.081873964144735,-8.150900718382545,-6.401700863573286,-5.180486252812844
2,铅钡,风化,1,主采样点均值,99.88999999999999,True,36.28,0.0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0.0,3.57,0.19,0.0,0.0,-4.507557357121091,-3.542476461077504,-2.7411156958773257,-3.4257521867693628,-1.8455510945202875,-2.970690137521826,-4.938340273213545,0.2679883146425545,-4.123145658210759,-2.3187010294553883,-5.251997832068587,-5.754089775865823,-5.3060650533388625
3,高钾,无风化,0,主采样点均值,102.55499999999999,True,74.38,0.0,8.78,3.94,1.11,4.779999999999999,2.16,2.935,0.83,2.86,0.6799999999999999,0.1,0.0,0.0,-5.225477820371079,-2.1367106808498986,-2.9380063651870816,-4.204827073172681,-2.7447465419935595,-3.53907886680085,-3.232479635216864,-4.495516666688418,-3.2583654636651627,-4.694849569308909,-6.61177218149097,-6.472010239115811,-6.0239855165888505
4,高钾,无风化,0,主采样点均值,96.05999999999999,True,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36,-5.104125637183595,-1.9188065958442364,-2.224927179885555,-3.7431490840479937,-2.3253063651931773,-3.46512892250795,-3.4085100285084415,-7.088256999059106,-4.719713938273263,-4.42355723883051,-8.099857910737585,-6.350658055928326,-5.209486152841421
5,高钾,无风化,0,主采样点均值,96.50999999999999,True,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47,-5.0366278743705095,-1.7269976862338445,-2.1256368292716092,-3.5493575959106165,-2.1054341219540893,-3.1571628247233487,-2.9355471575871923,-7.02075923624602,-4.652216175460177,-4.1822125462144415,-6.933747859256391,-6.283160293115241,-4.875359726774387
6,高钾,无风化,0,主采样点均值,101.58500000000001,True,63.730000000000004,0.0,7.525,5.41,1.855,10.600000000000001,4.215,2.3449999999999998,0.275,1.1749999999999998,4.34,0.11499999999999999,0.0,0.0,-5.070946141200358,-2.136424598691263,-2.4664063164678125,-3.5367707132668045,-1.7938014082081812,-2.716005817872384,-3.3023700074279603,-5.445639590641768,-3.9933872617300805,-2.6867810612138894,-6.31747855994509,-6.31747855994509,-5.8694538374181295
7,高钾,风化,1,主采样点均值,99.69999999999999,True,92.63,0.0,0.0,1.07,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0,-5.444903795140091,-7.429035157015602,-4.460954414792122,-5.976782828103914,-3.845516218559492,-6.300569905197811,-3.353039733461698,-7.429035157015602,-5.060492096229759,-5.022909385080716,-8.440636068694083,-6.691436213884823,-6.243411491357863
8,铅钡,风化,2,主采样点均值,99.82000000000001,True,20.14,0.0,0.0,1.48,0.0,1.34,0.0,10.41,28.68,31.23,3.59,0.37,0.0,2.58,-3.9189986191645714,-5.903129981040083,-2.6106657995143925,-4.450877652128394,-2.710038273327596,-5.467811909782236,-0.6599410046635388,0.35349212844100336,0.4386712840045709,-1.7245556847902288,-3.9969601606342833,-5.165531037909303,-2.0549184883568903
9,高钾,风化,1,主采样点均值,99.76999999999998,True,95.02,0.0,0.59,0.62,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0,-5.47037812763293,-5.081720137841147,-5.032123196701775,-6.002257160596753,-4.276455659160495,-5.69352167894714,-4.11583246482762,-7.454509489508442,-5.085966428722599,-5.603909520257453,-8.46611040118692,-6.716910546377663,-6.268885823850702
10,高钾,风化,1,主采样点均值,99.80999999999999,True,96.77,0.0,0.92,0.21,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-5.488627760767006,-4.655718637831902,-6.132984777157519,-6.02050679373083,-4.7830580602085035,-5.91941067685946,-4.746690416037628,-7.472759122642517,-5.1042160618566745,-7.924744246385575,-8.484360034320996,-6.735160179511738,-6.287135456984778
