文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,文物编号,采样点类型,采样点序号,成分累加和,检出成分数,是否有效,纹饰,类型,颜色,表面风化
01,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,1,普通点,,97.61,9,True,C,高钾,蓝绿,无风化
02,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,2,普通点,,99.88999999999999,10,True,A,铅钡,浅蓝,风化
03部位1,87.05,,5.19,2.01,,4.06,,0.78,0.25,,0.66,,,,3,部位,1.0,100.0,7,True,A,高钾,蓝绿,无风化
03部位2,61.71,,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,,,3,部位,2.0,98.88,11,True,A,高钾,蓝绿,无风化
04,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,4,普通点,,96.05999999999999,9,True,A,高钾,蓝绿,无风化
05,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,5,普通点,,96.50999999999999,10,True,A,高钾,蓝绿,无风化
06部位1,67.65,,7.37,,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,,,6,部位,1.0,98.92,10,True,A,高钾,蓝绿,无风化
06部位2,59.81,,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,,,6,部位,2.0,98.84,11,True,A,高钾,蓝绿,无风化
07,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,7,普通点,,99.69999999999999,6,True,B,高钾,蓝绿,风化
08,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,8,普通点,,99.82000000000001,9,True,C,铅钡,紫,风化
08严重风化点,4.61,,,3.19,,1.11,,3.14,32.45,30.62,7.56,0.53,,15.03,8,严重风化点,,98.24000000000001,9,True,C,铅钡,紫,风化
09,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,9,普通点,,99.76999999999998,7,True,B,高钾,蓝绿,风化
10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,10,普通点,,99.80999999999999,6,True,B,高钾,蓝绿,风化
11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,11,普通点,,95.39,10,True,C,铅钡,浅蓝,风化
12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,12,普通点,,99.57000000000002,7,True,B,高钾,蓝绿,风化
13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,13,普通点,,98.13999999999999,8,True,C,高钾,浅蓝,无风化
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,14,普通点,,98.99999999999999,10,True,C,高钾,深绿,无风化
15,61.87,3.21,7.44,,1.02,3.15,1.04,1.29,0.19,0.0,0.26,,,,15,普通点,,79.47,10,False,C,高钾,浅蓝,无风化
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,,0.04,,,16,普通点,,98.41,11,True,C,高钾,浅蓝,无风化
17,60.71,2.12,5.71,,0.85,,1.04,1.09,0.19,0.0,0.18,,0.0,,17,普通点,,71.89,10,False,C,高钾,浅蓝,无风化
18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,18,普通点,,97.24999999999999,7,True,A,高钾,深蓝,无风化
19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,19,普通点,,98.75999999999999,10,True,A,铅钡,,风化
20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,20,普通点,,88.41,8,True,A,铅钡,浅蓝,无风化
21,76.68,,,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,,,,21,普通点,,98.52,9,True,A,高钾,蓝绿,无风化
22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,22,普通点,,100.0,8,True,B,高钾,蓝绿,风化
23未风化点,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,,23,未风化点,,96.5,9,True,A,铅钡,蓝绿,风化
24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,24,普通点,,98.88000000000001,8,True,C,铅钡,紫,无风化
25未风化点,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,,25,未风化点,,97.06000000000002,10,True,C,铅钡,浅蓝,风化
26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,26,普通点,,99.82,9,True,C,铅钡,紫,风化
26严重风化点,3.72,,0.4,3.01,,1.18,,3.6,29.92,35.45,6.04,0.62,,15.95,26,严重风化点,,99.89000000000001,10,True,C,铅钡,紫,风化
27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,27,普通点,,98.81,7,True,B,高钾,蓝绿,风化
28未风化点,68.08,,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,,28,未风化点,,98.69000000000001,12,True,A,铅钡,浅蓝,风化
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,,29,未风化点,,99.88,12,True,A,铅钡,浅蓝,风化
30部位1,34.34,,1.41,4.49,0.98,4.35,2.12,,39.22,10.29,,0.35,0.4,,30,部位,1.0,97.94999999999999,10,True,A,铅钡,深蓝,无风化
30部位2,36.93,,,4.24,0.51,3.86,2.74,,37.74,10.35,1.41,0.48,0.44,,30,部位,2.0,98.7,10,True,A,铅钡,深蓝,无风化
31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,31,普通点,,98.42999999999999,10,True,C,铅钡,紫,无风化
32,69.71,,0.21,0.46,,2.36,1.0,0.11,19.76,4.88,0.17,,,,32,普通点,,98.66,9,True,C,铅钡,浅绿,无风化
33,75.51,,0.15,0.64,1.0,2.35,,0.47,16.16,3.55,0.13,,,,33,普通点,,99.96,9,True,C,铅钡,深绿,无风化
34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10.0,0.34,0.22,,,34,普通点,,97.52000000000001,10,True,C,铅钡,深绿,风化
35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,35,普通点,,96.21,8,True,C,铅钡,浅绿,无风化
36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,36,普通点,,97.62999999999998,11,True,C,铅钡,深绿,风化
37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,37,普通点,,99.97999999999999,10,True,C,铅钡,深绿,无风化
38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,38,普通点,,98.57000000000001,10,True,C,铅钡,深绿,风化
39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,39,普通点,,98.75999999999999,8,True,C,铅钡,深绿,风化
40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,40,普通点,,98.57,8,True,C,铅钡,,风化
41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,41,普通点,,93.71,11,True,C,铅钡,浅绿,风化
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,,2.67,21.88,10.47,0.08,0.35,,,42,未风化点,1.0,98.00999999999999,11,True,A,铅钡,浅蓝,风化
42未风化点2,51.33,5.68,0.35,,1.16,5.66,,2.72,20.12,10.88,,,,,42,未风化点,2.0,97.9,8,True,A,铅钡,浅蓝,风化
43部位1,12.41,,,5.24,0.89,2.25,0.76,5.35,59.85,7.29,,0.64,,,43,部位,1.0,94.68,9,True,C,铅钡,浅蓝,风化
43部位2,21.7,,,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,,,43,部位,2.0,96.67,10,True,C,铅钡,浅蓝,风化
44未风化点,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,,44,未风化点,,99.12,10,True,A,铅钡,浅蓝,风化
45,61.28,2.66,0.11,0.84,0.74,5.0,,0.53,15.99,10.96,,0.23,,,45,普通点,,98.33999999999999,10,True,A,铅钡,浅蓝,无风化
46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,46,普通点,,98.63000000000001,9,True,A,铅钡,浅蓝,无风化
47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,47,普通点,,97.25999999999999,11,True,A,铅钡,浅蓝,无风化
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,48,普通点,,99.16999999999999,12,True,A,铅钡,,风化
49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,49,普通点,,95.49999999999999,10,True,A,铅钡,黑,风化
49未风化点,54.61,,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,,,49,未风化点,,98.24,11,True,A,铅钡,黑,风化
50,17.98,,,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,,,50,普通点,,90.17,10,True,A,铅钡,黑,风化
50未风化点,45.02,,,3.12,0.54,4.16,,0.7,30.61,6.22,6.34,0.23,,,50,未风化点,,96.94000000000001,9,True,A,铅钡,黑,风化
51部位1,24.61,,,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,,51,部位,1.0,95.33,11,True,C,铅钡,浅蓝,风化
51部位2,21.35,,,5.13,1.45,2.51,0.42,0.75,51.34,,8.75,,,,51,部位,2.0,91.7,8,True,C,铅钡,浅蓝,风化
52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,52,普通点,,94.07999999999998,11,True,C,铅钡,浅蓝,风化
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,,53,未风化点,,98.24999999999999,10,True,A,铅钡,浅蓝,风化
54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,54,普通点,,99.66999999999999,10,True,C,铅钡,浅蓝,风化
54严重风化点,17.11,,,,1.11,3.65,,1.34,58.46,,14.13,1.12,,,54,严重风化点,,96.92,7,True,C,铅钡,浅蓝,风化
55,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,,55,普通点,,96.38000000000001,8,True,C,铅钡,绿,无风化
56,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,,56,普通点,,92.24000000000001,7,True,C,铅钡,蓝绿,风化
57,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,,57,普通点,,92.47,6,True,C,铅钡,蓝绿,风化
58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,58,普通点,,98.75999999999999,11,True,C,铅钡,,风化
