文物编号,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,纹饰,类型,颜色,表面风化,主采样点数,成分累加和,检出成分数,是否有效,K2O_SVR插补,MgO_SVR插补,Fe2O3_SVR插补,PbO_SVR插补,BaO_SVR插补,SrO_SVR插补
1,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,C,高钾,蓝绿,无风化,1,97.61,9,True,9.99,0.87,1.74,5.049586951801274,2.586943041639235,0.11913035693415525
2,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,A,铅钡,浅蓝,风化,1,99.89,10,True,1.05,1.18,1.86,47.43,12.335201368443801,0.19
3,74.38,,8.78,3.94,1.11,4.779999999999999,2.16,2.935,0.83,2.86,0.6799999999999999,0.1,,,A,高钾,蓝绿,无风化,2,102.555,11,True,8.78,1.11,2.16,0.83,2.86,0.1
4,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,A,高钾,蓝绿,无风化,1,96.06,9,True,9.67,1.56,2.06,3.0071909347050223,0.9285897371229774,0.11024358375532967
5,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,A,高钾,蓝绿,无风化,1,96.51,10,True,10.95,1.77,2.62,3.4471272365031,1.8538749704853368,0.06
6,63.73,,7.525,5.41,1.855,10.6,4.215,2.345,0.275,1.1749999999999998,4.34,0.1149999999999999,,,A,高钾,蓝绿,无风化,2,101.585,11,True,7.525,1.855,4.215,0.275,1.1749999999999998,0.1149999999999999
7,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,B,高钾,蓝绿,风化,1,99.7,6,True,2.5169725300266976,0.6174215053402885,0.17,3.721239349809874,1.2305408103236788,0.13004382102787598
8,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,C,铅钡,紫,风化,1,99.82,9,True,1.1519822101112642,0.7720658755039401,1.192555626478268,28.68,31.23,0.37
9,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,B,高钾,蓝绿,风化,1,99.76999999999998,7,True,0.59,0.5794391210144296,0.32,7.509578441217119,-0.5728463273865954,0.14816571266022455
10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,B,高钾,蓝绿,风化,1,99.81,6,True,0.92,0.5512960916499953,0.26,5.821470723105463,-0.2808176547102432,0.15419313726901335
11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,C,铅钡,浅蓝,风化,1,95.39,10,True,0.21,0.71,1.3275193702196304,25.39,14.61,0.37
12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,B,高钾,蓝绿,风化,1,99.57000000000002,7,True,1.01,0.5887755432838069,0.29,7.543110682700146,-0.48049232577758527,0.14779089252575478
13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,C,高钾,浅蓝,无风化,1,98.14,8,True,12.53,1.1437146084312206,2.88,5.175119706880974,3.048199506017732,0.10232388129391828
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,C,高钾,深绿,无风化,1,99.0,10,True,12.28,0.66,0.5,1.62,0.03798981688661929,0.09941514834533832
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,,0.04,,,C,高钾,浅蓝,无风化,1,98.41,11,True,14.52,0.52,0.42,0.11,0.0,0.04
18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,A,高钾,深蓝,无风化,1,97.25,7,True,9.42,1.53,1.1988350745192968,5.051209758934817,1.850728334381242,0.07
19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,A,铅钡,,风化,1,98.76,10,True,-0.17262439797554086,0.59,1.33,42.82,5.35,0.19
20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,A,铅钡,浅蓝,无风化,1,88.41,8,True,0.71,0.8327253789719189,1.51,9.3,23.55,0.329040772973989
21,76.68,,,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,,,,A,高钾,蓝绿,无风化,1,98.52,9,True,7.57563107002902,1.22,2.37,1.0,1.97,0.09218797201887746
22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,B,高钾,蓝绿,风化,1,100.0,8,True,0.74,0.64,0.35,5.716725066422171,-0.655757513238675,0.12614821479701027
24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,C,铅钡,紫,无风化,1,98.88,8,True,0.6514005811036783,0.714209707893335,1.1925773887185487,29.14,26.23,0.91
26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,C,铅钡,紫,风化,1,99.82,9,True,1.29140838433776,0.7733037826988785,1.1925550220992365,29.53,32.25,0.45
27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,B,高钾,蓝绿,风化,1,98.81,7,True,0.8632160915165046,0.54,0.2,5.903047605544252,0.09189733022458757,0.14005353946592675
30,35.635000000000005,,1.41,4.365,0.745,4.105,2.43,,38.48,10.32,1.41,0.415,0.42,,A,铅钡,深蓝,无风化,2,99.735,11,True,1.41,0.745,2.43,38.48,10.32,0.415
31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,C,铅钡,紫,无风化,1,98.43,10,True,1.3640464012808349,0.89,4.59,16.55,3.42,0.3
32,69.71,,0.21,0.46,,2.36,1.0,0.11,19.76,4.88,0.17,,,,C,铅钡,浅绿,无风化,1,98.66,9,True,0.21,0.6684660997918772,1.0,19.76,4.88,0.2753350055550298
33,75.51,,0.15,0.64,1.0,2.35,,0.47,16.16,3.55,0.13,,,,C,铅钡,深绿,无风化,1,99.96,9,True,0.15,1.0,0.7583051112505348,16.16,3.55,0.2397455652137433
