文物编号,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,纹饰,类型,颜色,表面风化,主采样点数,成分累加和,检出成分数,是否有效
1,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,C,高钾,蓝绿,无风化,1,97.61,9,True
2,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,A,铅钡,浅蓝,风化,1,99.88999999999999,10,True
3,74.38,,8.78,3.94,1.11,4.779999999999999,2.16,2.935,0.83,2.86,0.6799999999999999,0.1,,,A,高钾,蓝绿,无风化,2,102.55499999999999,11,True
4,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,A,高钾,蓝绿,无风化,1,96.05999999999999,9,True
5,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,A,高钾,蓝绿,无风化,1,96.50999999999999,10,True
6,63.730000000000004,,7.525,5.41,1.855,10.600000000000001,4.215,2.3449999999999998,0.275,1.1749999999999998,4.34,0.11499999999999999,,,A,高钾,蓝绿,无风化,2,101.58500000000001,11,True
7,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,B,高钾,蓝绿,风化,1,99.69999999999999,6,True
8,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,C,铅钡,紫,风化,1,99.82000000000001,9,True
9,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,B,高钾,蓝绿,风化,1,99.76999999999998,7,True
10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,B,高钾,蓝绿,风化,1,99.80999999999999,6,True
11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,C,铅钡,浅蓝,风化,1,95.39,10,True
12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,B,高钾,蓝绿,风化,1,99.57000000000002,7,True
13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,C,高钾,浅蓝,无风化,1,98.13999999999999,8,True
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,C,高钾,深绿,无风化,1,98.99999999999999,10,True
15,61.87,3.21,7.44,,1.02,3.15,1.04,1.29,0.19,0.0,0.26,,,,C,高钾,浅蓝,无风化,1,79.47,10,False
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,,0.04,,,C,高钾,浅蓝,无风化,1,98.41,11,True
17,60.71,2.12,5.71,,0.85,,1.04,1.09,0.19,0.0,0.18,,0.0,,C,高钾,浅蓝,无风化,1,71.89,10,False
18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,A,高钾,深蓝,无风化,1,97.24999999999999,7,True
19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,A,铅钡,,风化,1,98.75999999999999,10,True
20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,A,铅钡,浅蓝,无风化,1,88.41,8,True
21,76.68,,,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,,,,A,高钾,蓝绿,无风化,1,98.52,9,True
22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,B,高钾,蓝绿,风化,1,100.0,8,True
24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,C,铅钡,紫,无风化,1,98.88000000000001,8,True
26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,C,铅钡,紫,风化,1,99.82,9,True
27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,B,高钾,蓝绿,风化,1,98.81,7,True
30,35.635000000000005,,1.41,4.365,0.745,4.1049999999999995,2.43,,38.480000000000004,10.32,1.41,0.415,0.42000000000000004,,A,铅钡,深蓝,无风化,2,99.73500000000001,11,True
31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,C,铅钡,紫,无风化,1,98.42999999999999,10,True
32,69.71,,0.21,0.46,,2.36,1.0,0.11,19.76,4.88,0.17,,,,C,铅钡,浅绿,无风化,1,98.66,9,True
33,75.51,,0.15,0.64,1.0,2.35,,0.47,16.16,3.55,0.13,,,,C,铅钡,深绿,无风化,1,99.96,9,True
34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10.0,0.34,0.22,,,C,铅钡,深绿,风化,1,97.52000000000001,10,True
35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,C,铅钡,浅绿,无风化,1,96.21,8,True
36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,C,铅钡,深绿,风化,1,97.62999999999998,11,True
37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,C,铅钡,深绿,无风化,1,99.97999999999999,10,True
38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,C,铅钡,深绿,风化,1,98.57000000000001,10,True
39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,C,铅钡,深绿,风化,1,98.75999999999999,8,True
40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,C,铅钡,,风化,1,98.57,8,True
41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,C,铅钡,浅绿,风化,1,93.71,11,True
43,17.055,,,5.82,0.9199999999999999,2.83,1.075,3.4299999999999997,52.3,5.275,12.83,0.5549999999999999,,,C,铅钡,浅蓝,风化,2,102.09,10,True
45,61.28,2.66,0.11,0.84,0.74,5.0,,0.53,15.99,10.96,,0.23,,,A,铅钡,浅蓝,无风化,1,98.33999999999999,10,True
46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,A,铅钡,浅蓝,无风化,1,98.63000000000001,9,True
47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,A,铅钡,浅蓝,无风化,1,97.25999999999999,11,True
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,A,铅钡,,风化,1,99.16999999999999,12,True
49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,A,铅钡,黑,风化,1,95.49999999999999,10,True
50,17.98,,,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,,,A,铅钡,黑,风化,1,90.17,10,True
51,22.98,,,4.355,1.3199999999999998,3.88,0.8049999999999999,1.06,45.790000000000006,8.94,8.425,0.39,0.47,,C,铅钡,浅蓝,风化,2,98.41499999999999,11,True
52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,C,铅钡,浅蓝,风化,1,94.07999999999998,11,True
54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,C,铅钡,浅蓝,风化,1,99.66999999999999,10,True
55,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,,C,铅钡,绿,无风化,1,96.38000000000001,8,True
56,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,,C,铅钡,蓝绿,风化,1,92.24000000000001,7,True
57,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,,C,铅钡,蓝绿,风化,1,92.47,6,True
58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,C,铅钡,,风化,1,98.75999999999999,11,True
