文物编号,成分数据来源,主采样点数,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,类型,纹饰,颜色,表面风化,成分累加和,检出成分数,是否有效
1,主采样点均值,1,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,高钾,C,蓝绿,无风化,97.61,9,True
2,主采样点均值,1,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,铅钡,A,浅蓝,风化,99.88999999999999,10,True
3,主采样点均值,2,74.38,,8.78,3.94,1.11,4.779999999999999,2.16,2.935,0.83,2.86,0.6799999999999999,0.1,,,高钾,A,蓝绿,无风化,102.55499999999999,11,True
4,主采样点均值,1,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,高钾,A,蓝绿,无风化,96.05999999999999,9,True
5,主采样点均值,1,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,高钾,A,蓝绿,无风化,96.50999999999999,10,True
6,主采样点均值,2,63.730000000000004,,7.525,5.41,1.855,10.600000000000001,4.215,2.3449999999999998,0.275,1.1749999999999998,4.34,0.11499999999999999,,,高钾,A,蓝绿,无风化,101.58500000000001,11,True
7,主采样点均值,1,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,高钾,B,蓝绿,风化,99.69999999999999,6,True
8,主采样点均值,1,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,铅钡,C,紫,风化,99.82000000000001,9,True
9,主采样点均值,1,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,高钾,B,蓝绿,风化,99.76999999999998,7,True
10,主采样点均值,1,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,高钾,B,蓝绿,风化,99.80999999999999,6,True
11,主采样点均值,1,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,铅钡,C,浅蓝,风化,95.39,10,True
12,主采样点均值,1,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,高钾,B,蓝绿,风化,99.57000000000002,7,True
13,主采样点均值,1,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,高钾,C,浅蓝,无风化,98.13999999999999,8,True
14,主采样点均值,1,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,高钾,C,深绿,无风化,98.99999999999999,10,True
15,主采样点均值,1,61.87,3.21,7.44,,1.02,3.15,1.04,1.29,0.19,0.0,0.26,,,,高钾,C,浅蓝,无风化,79.47,10,False
16,主采样点均值,1,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,,0.04,,,高钾,C,浅蓝,无风化,98.41,11,True
17,主采样点均值,1,60.71,2.12,5.71,,0.85,,1.04,1.09,0.19,0.0,0.18,,0.0,,高钾,C,浅蓝,无风化,71.89,10,False
18,主采样点均值,1,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,高钾,A,深蓝,无风化,97.24999999999999,7,True
19,主采样点均值,1,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,铅钡,A,,风化,98.75999999999999,10,True
20,主采样点均值,1,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,铅钡,A,浅蓝,无风化,88.41,8,True
21,主采样点均值,1,76.68,,,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,,,,高钾,A,蓝绿,无风化,98.52,9,True
22,主采样点均值,1,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,高钾,B,蓝绿,风化,100.0,8,True
23,未风化点,0,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,,铅钡,A,蓝绿,风化,96.5,9,True
24,主采样点均值,1,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,铅钡,C,紫,无风化,98.88000000000001,8,True
25,未风化点,0,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,,铅钡,C,浅蓝,风化,97.06000000000002,10,True
26,主采样点均值,1,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,铅钡,C,紫,风化,99.82,9,True
