文物编号,检出_SiO2,检出_Na2O,检出_K2O,检出_CaO,检出_MgO,检出_Al2O3,检出_Fe2O3,检出_CuO,检出_PbO,检出_BaO,检出_P2O5,检出_SrO,检出_SnO2,检出_SO2
1,1,0,1,1,1,1,1,1,0,0,1,0,0,1
2,1,0,1,1,1,1,1,1,1,0,1,1,0,0
3,1,0,1,1,1,1,1,1,1,1,1,1,0,0
4,1,0,1,1,1,1,1,1,0,0,1,0,0,1
5,1,0,1,1,1,1,1,1,0,0,1,1,0,1
6,1,0,1,1,1,1,1,1,1,1,1,1,0,0
7,1,0,0,1,0,1,1,1,0,0,1,0,0,0
8,1,0,0,1,0,1,0,1,1,1,1,1,0,1
9,1,0,1,1,0,1,1,1,0,0,1,0,0,0
10,1,0,1,1,0,1,1,1,0,0,0,0,0,0
11,1,0,1,1,1,1,0,1,1,1,1,1,0,0
12,1,0,1,1,0,1,1,1,0,0,1,0,0,0
13,1,1,1,1,0,1,1,1,0,0,1,0,0,0
14,1,1,1,1,1,1,1,1,1,0,1,0,0,0
15,1,1,1,0,1,1,1,1,1,1,1,0,0,0
16,1,1,1,1,1,1,1,1,1,1,0,1,0,0
17,1,1,1,0,1,0,1,1,1,1,1,0,1,0
18,1,0,1,0,1,1,0,0,0,0,1,1,1,0
19,1,0,0,1,1,1,1,1,1,1,1,1,0,0
20,1,0,1,0,0,1,1,1,1,1,1,0,0,0
21,1,0,0,1,1,1,1,1,1,1,1,0,0,0
22,1,0,1,1,1,1,1,1,0,0,1,0,0,0
24,1,0,0,1,0,1,0,1,1,1,1,1,0,0
26,1,0,0,1,0,1,0,1,1,1,1,1,0,1
27,1,0,0,1,1,1,1,1,0,0,1,0,0,0
30,1,0,1,1,1,1,1,0,1,1,1,1,1,0
31,1,0,0,1,1,1,1,1,1,1,1,1,0,0
32,1,0,1,1,0,1,1,1,1,1,1,0,0,0
33,1,0,1,1,1,1,0,1,1,1,1,0,0,0
34,1,0,1,1,0,1,1,1,1,1,1,1,0,0
35,1,0,0,1,0,1,1,1,1,1,1,0,0,0
36,1,1,1,1,0,1,1,1,1,1,1,1,0,0
37,1,0,1,1,0,1,0,1,1,1,1,1,0,1
38,1,1,0,1,0,1,1,1,1,1,1,1,0,0
39,1,0,0,1,0,1,0,1,1,1,1,1,0,0
40,1,0,0,1,0,1,1,0,1,1,1,1,0,0
41,1,0,1,1,1,1,1,1,1,1,1,1,0,0
43,1,0,0,1,1,1,1,1,1,1,1,1,0,0
45,1,1,1,1,1,1,0,1,1,1,0,1,0,0
46,1,0,1,0,1,1,0,1,1,1,1,1,0,0
47,1,1,1,1,1,1,0,1,1,1,1,1,0,0
48,1,1,1,1,1,1,1,0,1,1,1,1,1,0
49,1,0,0,1,1,1,1,1,1,1,1,1,0,0
50,1,0,0,1,1,1,1,1,1,1,1,1,0,0
51,1,0,0,1,1,1,1,1,1,1,1,1,1,0
52,1,1,0,1,1,1,1,1,1,1,1,1,0,0
54,1,0,1,1,1,1,0,1,1,1,1,1,0,0
55,1,1,0,1,0,1,0,1,1,1,1,0,0,0
56,1,0,0,1,0,1,0,1,1,1,1,0,0,0
57,1,0,0,1,0,1,0,1,1,1,0,0,0,0
58,1,0,1,1,1,1,1,1,1,1,1,1,0,0
