文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,文物编号,采样点类型,采样点序号,成分累加和,检出成分数,是否有效,纹饰,类型,颜色,表面风化
08严重风化点,4.61,,,3.19,,1.11,,3.14,32.45,30.62,7.56,0.53,,15.03,8,严重风化点,,98.24,9,True,C,铅钡,紫,风化
23未风化点,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,,23,未风化点,,96.5,9,True,A,铅钡,蓝绿,风化
25未风化点,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,,25,未风化点,,97.06000000000002,10,True,C,铅钡,浅蓝,风化
26严重风化点,3.72,,0.4,3.01,,1.18,,3.6,29.92,35.45,6.04,0.62,,15.95,26,严重风化点,,99.89,10,True,C,铅钡,紫,风化
28未风化点,68.08,,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,,28,未风化点,,98.69,12,True,A,铅钡,浅蓝,风化
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,,29,未风化点,,99.88,12,True,A,铅钡,浅蓝,风化
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,,2.67,21.88,10.47,0.08,0.35,,,42,未风化点,1.0,98.01,11,True,A,铅钡,浅蓝,风化
42未风化点2,51.33,5.68,0.35,,1.16,5.66,,2.72,20.12,10.88,,,,,42,未风化点,2.0,97.9,8,True,A,铅钡,浅蓝,风化
44未风化点,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,,44,未风化点,,99.12,10,True,A,铅钡,浅蓝,风化
49未风化点,54.61,,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,,,49,未风化点,,98.24,11,True,A,铅钡,黑,风化
50未风化点,45.02,,,3.12,0.54,4.16,,0.7,30.61,6.22,6.34,0.23,,,50,未风化点,,96.94,9,True,A,铅钡,黑,风化
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,,53,未风化点,,98.25,10,True,A,铅钡,浅蓝,风化
54严重风化点,17.11,,,,1.11,3.65,,1.34,58.46,,14.13,1.12,,,54,严重风化点,,96.92,7,True,C,铅钡,浅蓝,风化
