类型,分组,成分,n,均值,中位数,标准差,最小,最大
高钾,无风化,SiO2,12,66.69,64.455,6.759,59.01,79.46
高钾,无风化,Na2O,5,2.734,2.86,0.6,2.1,3.38
高钾,无风化,K2O,11,9.892,9.67,2.566,5.71,14.52
高钾,无风化,CaO,9,6.672,7.12,1.688,3.94,8.7
高钾,无风化,MgO,11,1.179,1.11,0.449,0.52,1.855
高钾,无风化,Al2O3,11,6.11,6.18,2.379,3.05,10.6
高钾,无风化,Fe2O3,11,1.913,2.06,1.132,0.42,4.215
高钾,无风化,CuO,11,2.412,2.345,1.338,0.47,4.73
高钾,无风化,PbO,7,0.602,0.275,0.568,0.11,1.62
高钾,无风化,BaO,6,1.001,0.587,1.219,0.0,2.86
高钾,无风化,P2O5,11,1.114,0.94,1.155,0.16,4.34
高钾,无风化,SrO,5,0.077,0.07,0.03,0.04,0.115
高钾,无风化,SnO2,2,1.18,1.18,1.669,0.0,2.36
高钾,无风化,SO2,3,0.407,0.39,0.057,0.36,0.47
高钾,风化,SiO2,6,93.963,93.505,1.734,92.35,96.77
高钾,风化,Na2O,0,,,,,
高钾,风化,K2O,4,0.815,0.83,0.187,0.59,1.01
高钾,风化,CaO,6,0.87,0.83,0.488,0.21,1.66
高钾,风化,MgO,2,0.59,0.59,0.071,0.54,0.64
高钾,风化,Al2O3,6,1.93,1.72,0.964,0.81,3.5
高钾,风化,Fe2O3,6,0.265,0.275,0.069,0.17,0.35
高钾,风化,CuO,6,1.562,1.545,0.935,0.55,3.24
高钾,风化,PbO,0,,,,,
高钾,风化,BaO,0,,,,,
高钾,风化,P2O5,5,0.336,0.35,0.178,0.15,0.61
高钾,风化,SrO,0,,,,,
高钾,风化,SnO2,0,,,,,
高钾,风化,SO2,0,,,,,
铅钡,无风化,SiO2,12,54.928,57.665,14.163,31.94,75.51
铅钡,无风化,Na2O,3,3.343,2.71,1.141,2.66,4.66
铅钡,无风化,K2O,8,0.42,0.24,0.441,0.11,1.41
铅钡,无风化,CaO,10,1.164,0.855,1.182,0.38,4.365
铅钡,无风化,MgO,6,0.942,0.818,0.381,0.61,1.67
铅钡,无风化,Al2O3,12,3.119,2.89,1.414,1.44,5.45
铅钡,无风化,Fe2O3,5,1.94,1.51,1.693,0.17,4.59
铅钡,无风化,CuO,11,1.84,0.65,2.622,0.11,8.46
铅钡,无风化,PbO,12,22.353,20.905,8.265,9.3,38.48
铅钡,无风化,BaO,12,10.514,9.645,7.259,3.42,26.23
铅钡,无风化,P2O5,11,1.068,0.35,1.663,0.1,5.75
铅钡,无风化,SrO,7,0.492,0.415,0.274,0.23,0.91
铅钡,无风化,SnO2,1,0.42,0.42,,0.42,0.42
铅钡,无风化,SO2,1,3.66,3.66,,3.66,3.66
铅钡,风化,SiO2,21,27.726,26.25,8.971,16.71,53.33
铅钡,风化,Na2O,4,1.405,1.3,0.596,0.8,2.22
铅钡,风化,K2O,8,0.384,0.32,0.284,0.14,1.05
铅钡,风化,CaO,21,2.557,2.34,1.524,0.37,5.82
铅钡,风化,MgO,12,1.129,1.05,0.626,0.47,2.73
铅钡,风化,Al2O3,21,3.075,2.57,2.836,0.45,13.65
铅钡,风化,Fe2O3,14,0.951,0.832,0.758,0.19,2.74
铅钡,风化,CuO,19,2.453,1.06,3.111,0.19,10.57
铅钡,风化,PbO,21,43.202,44.12,12.145,15.71,70.21
铅钡,风化,BaO,20,11.782,9.35,7.634,5.275,32.25
铅钡,风化,P2O5,20,5.053,3.915,3.902,0.07,12.83
铅钡,风化,SrO,19,0.424,0.41,0.19,0.19,0.88
铅钡,风化,SnO2,2,0.89,0.89,0.594,0.47,1.31
铅钡,风化,SO2,2,2.27,2.27,0.438,1.96,2.58
