类型,成分,n风化,n无风化,U,P值,Cohen_d,方向,显著性
高钾,SiO2,6,12,72.0,0.0001,4.795,风化高,显著
高钾,Na2O,0,5,,,,—,样本不足
高钾,K2O,4,11,0.0,0.0015,-4.031,风化低,显著
高钾,CaO,6,9,0.0,0.0004,-4.273,风化低,显著
高钾,MgO,2,11,2.0,0.1026,-1.374,风化低,不显著
高钾,Al2O3,6,11,2.0,0.0006,-2.069,风化低,显著
高钾,Fe2O3,6,11,0.0,0.0011,-1.782,风化低,显著
高钾,CuO,6,11,21.0,0.2561,-0.698,风化低,不显著
高钾,PbO,0,7,,,,—,样本不足
高钾,BaO,0,6,,,,—,样本不足
高钾,P2O5,5,11,11.0,0.0687,-0.793,风化低,不显著
高钾,SrO,0,5,,,,—,样本不足
高钾,SnO2,0,2,,,,—,样本不足
高钾,SO2,0,3,,,,—,样本不足
铅钡,SiO2,21,12,14.0,0.0,-2.452,风化低,显著
铅钡,Na2O,4,3,0.0,0.0571,-2.263,风化低,不显著
铅钡,K2O,8,8,39.0,0.4939,-0.098,风化低,不显著
铅钡,CaO,21,10,167.0,0.0093,0.976,风化高,显著
铅钡,MgO,12,6,39.0,0.8201,0.333,风化高,不显著
铅钡,Al2O3,21,12,107.0,0.4887,-0.018,风化低,不显著
铅钡,Fe2O3,14,5,24.0,0.3426,-0.937,风化低,不显著
铅钡,CuO,19,11,141.0,0.1213,0.208,风化高,不显著
铅钡,PbO,21,12,231.0,0.0001,1.908,风化高,显著
铅钡,BaO,20,12,131.0,0.6828,0.169,风化高,不显著
铅钡,P2O5,20,11,184.0,0.0024,1.205,风化高,显著
铅钡,SrO,19,7,60.0,0.7286,-0.318,风化低,不显著
铅钡,SnO2,2,1,,,,—,样本不足
铅钡,SO2,2,1,,,,—,样本不足
