文物采样点,文物编号,类型,组别,Y,观测SiO2,预测风化前SiO2,反推分母,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
09,9,高钾,一般风化,0.8,95.02,61.59642216497763,0.023935199395731143,61.59642216497763,,11.90671800621529,7.326358331248818,,6.87207757155061,2.6359690131109947,3.2649958273975876,,,1.552429468842984,,,
10,10,高钾,一般风化,0.8,96.77,63.34642216497763,0.023935199395731143,63.34642216497763,,12.23671800621529,6.9163583312488175,,6.362077571550611,2.5759690131109947,2.5549958273975872,,,,,,
12,12,高钾,一般风化,0.8,94.29,60.86642216497764,0.023935199395731143,60.86642216497764,,12.32671800621529,7.426358331248817,,7.01207757155061,2.605969013110995,3.3649958273975873,,,1.352429468842984,,,
22,22,高钾,一般风化,0.8,92.35,58.92642216497763,0.023935199395731143,58.92642216497763,,12.05671800621529,8.366358331248817,1.2594689153609957,9.05207757155061,2.665969013110995,2.2649958273975876,,,1.4124294688429841,,,
02,2,铅钡,一般风化,0.75,36.28,73.947847919147,-0.01991088000593648,73.947847919147,,0.8637157413592812,0.6920250987423731,0.9047658409721961,6.726364996040048,2.614633199561491,-0.9915331534671348,24.63417715368274,,-1.5944912934011417,0.1358802313283962,,
08,8,铅钡,一般风化,0.75,20.14,57.807847919147,-0.01991088000593648,57.807847919147,,,-0.16797490125762682,,2.336364996040048,,9.158466846532866,5.884177153682739,24.036402508640222,-1.5744912934011417,0.31588023132839615,,-3.9328442574444455
08严重风化点,8,铅钡,严重风化,1.0,4.61,54.83379722552933,-0.01991088000593648,54.83379722552933,,,0.9927001316564974,,2.4384866613867304,,1.4712891287104872,2.055569538243656,21.028536678186967,0.6740116087984775,0.4578403084378616,,6.34620765674074
11,11,铅钡,一般风化,0.75,33.59,71.257847919147,-0.01991088000593648,71.257847919147,,0.023715741359281173,1.862025098742373,0.4347658409721961,3.686364996040048,,3.678466846532865,2.5941771536827396,7.416402508640222,4.215508706598859,0.31588023132839615,,
19,19,铅钡,一般风化,0.75,29.64,67.30784791914701,-0.01991088000593648,67.30784791914701,,,1.2820250987423734,0.3147658409721961,4.566364996040048,2.084633199561491,2.258466846532865,20.02417715368274,-1.8435974913597777,3.6655087065988585,0.1358802313283962,,
26,26,铅钡,一般风化,0.75,19.79,57.457847919147,-0.01991088000593648,57.457847919147,,,-0.20797490125762685,,1.6963649960400478,,9.318466846532866,6.73417715368274,25.056402508640222,-2.0344912934011417,0.3958802313283962,,-4.552844257444446
