文物编号,类型,亚类,亚类命名,层次亚类
1,高钾,0,高CaO型,2
3,高钾,2,高BaO型,0
4,高钾,0,高CaO型,2
5,高钾,0,高CaO型,2
6,高钾,2,高BaO型,0
7,高钾,1,低CaO型,1
9,高钾,1,低CaO型,1
10,高钾,1,低CaO型,1
12,高钾,1,低CaO型,1
13,高钾,0,高CaO型,2
14,高钾,3,高PbO型,3
16,高钾,0,高CaO型,2
18,高钾,1,低CaO型,1
21,高钾,2,高BaO型,0
22,高钾,1,低CaO型,1
27,高钾,1,低CaO型,1
2,铅钡,4,高K2O型,3
8,铅钡,3,高CuO型,1
11,铅钡,2,高P2O5型,0
19,铅钡,1,高PbO型,0
20,铅钡,0,高SiO2型,2
23,铅钡,0,高SiO2型,2
24,铅钡,3,高CuO型,1
25,铅钡,0,高SiO2型,2
26,铅钡,3,高CuO型,1
28,铅钡,0,高SiO2型,2
29,铅钡,5,高Al2O3型,4
30,铅钡,4,高K2O型,3
31,铅钡,0,高SiO2型,2
32,铅钡,0,高SiO2型,2
33,铅钡,0,高SiO2型,2
34,铅钡,1,高PbO型,5
35,铅钡,0,高SiO2型,2
36,铅钡,1,高PbO型,5
37,铅钡,0,高SiO2型,2
38,铅钡,1,高PbO型,5
39,铅钡,1,高PbO型,0
40,铅钡,1,高PbO型,0
41,铅钡,2,高P2O5型,0
42,铅钡,0,高SiO2型,2
43,铅钡,2,高P2O5型,0
44,铅钡,5,高Al2O3型,4
45,铅钡,0,高SiO2型,2
46,铅钡,0,高SiO2型,2
47,铅钡,0,高SiO2型,2
48,铅钡,5,高Al2O3型,4
49,铅钡,2,高P2O5型,0
50,铅钡,2,高P2O5型,0
51,铅钡,2,高P2O5型,0
52,铅钡,1,高PbO型,5
53,铅钡,0,高SiO2型,2
54,铅钡,2,高P2O5型,0
55,铅钡,0,高SiO2型,2
56,铅钡,1,高PbO型,5
57,铅钡,1,高PbO型,5
58,铅钡,2,高P2O5型,0
