类型,亚类,命名,n,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
高钾,0,高CaO型,5,64.2,0.99,11.53,7.55,0.94,6.04,1.94,3.02,0.02,0.0,0.83,0.02,0.0,0.24
高钾,1,低CaO型,7,91.89,0.0,1.81,0.75,0.39,2.09,0.23,1.34,0.0,0.0,0.43,0.01,0.34,0.0
高钾,2,高BaO型,3,71.6,0.0,5.44,4.69,1.39,7.19,2.92,2.85,0.7,2.0,2.04,0.07,0.0,0.0
高钾,3,高PbO型,1,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0
铅钡,0,高SiO2型,15,58.6,1.93,0.17,0.72,0.59,3.36,0.62,1.3,20.09,8.79,0.77,0.23,0.02,0.24
铅钡,1,高PbO型,9,29.02,0.54,0.04,1.39,0.13,1.72,0.31,1.11,49.48,10.14,2.32,0.31,0.0,0.0
铅钡,2,高P2O5型,8,23.94,0.0,0.16,4.14,1.21,3.46,0.95,1.92,42.57,9.2,8.6,0.5,0.06,0.0
铅钡,3,高CuO型,3,23.96,0.0,0.0,1.13,0.0,1.21,0.0,9.81,29.12,29.9,2.29,0.58,0.0,1.51
铅钡,4,高K2O型,2,35.96,0.0,1.23,3.35,0.96,4.92,2.14,0.13,42.96,5.16,2.49,0.3,0.21,0.0
铅钡,5,高Al2O3型,3,59.12,1.59,0.27,2.65,1.01,13.56,0.87,0.39,13.88,4.85,0.5,0.25,0.44,0.0
