文物采样点,文物编号,类型,组别,风化物质,观测含量,预测风化前含量
09,9,高钾,一般风化,K2O,0.59,3.8656965410879316
10,10,高钾,一般风化,K2O,0.92,3.4002395577712297
12,12,高钾,一般风化,K2O,1.01,3.974090292036098
22,22,高钾,一般风化,K2O,0.74,5.076315524400693
07,7,高钾,一般风化,P2O5,0.61,0.586758141754661
09,9,高钾,一般风化,P2O5,0.35,0.5026761372677697
12,12,高钾,一般风化,P2O5,0.15,0.5567215025422492
22,22,高钾,一般风化,P2O5,0.21,0.1896650653067553
27,27,高钾,一般风化,P2O5,0.36,0.6692208625562256
02,2,铅钡,一般风化,K2O,1.05,0.8595108981785733
11,11,铅钡,一般风化,K2O,0.21,0.5957384085549048
26严重风化点,26,铅钡,严重风化,K2O,0.4,0.5772648938725402
34,34,铅钡,一般风化,K2O,0.25,0.6290825310873334
36,36,铅钡,一般风化,K2O,0.14,0.5001055679191965
41,41,铅钡,一般风化,K2O,0.44,1.0763129802519331
48,48,铅钡,一般风化,K2O,0.32,0.4531251002200893
54,54,铅钡,一般风化,K2O,0.32,1.071408216603561
58,58,铅钡,一般风化,K2O,0.34,0.8345422179697943
02,2,铅钡,一般风化,SrO,0.19,0.6454322211893478
08,8,铅钡,一般风化,SrO,0.37,0.7666725440563791
08严重风化点,8,铅钡,严重风化,SrO,0.53,0.9176831239353616
11,11,铅钡,一般风化,SrO,0.37,0.5339235064051271
19,19,铅钡,一般风化,SrO,0.19,0.6701142578295731
26,26,铅钡,一般风化,SrO,0.45,0.7676221521162427
26严重风化点,26,铅钡,严重风化,SrO,0.62,0.9275831292358818
34,34,铅钡,一般风化,SrO,0.22,0.6516353438085188
36,36,铅钡,一般风化,SrO,0.22,0.6006353509424878
38,38,铅钡,一般风化,SrO,0.41,0.7113941629801291
39,39,铅钡,一般风化,SrO,0.61,0.7957445963883489
40,40,铅钡,一般风化,SrO,0.68,0.9213513507723221
41,41,铅钡,一般风化,SrO,0.47,0.7470867526053862
43部位1,43,铅钡,一般风化,SrO,0.64,0.853036839634632
43部位2,43,铅钡,一般风化,SrO,0.47,0.6614346146420386
48,48,铅钡,一般风化,SrO,0.25,0.4035983743186996
49,49,铅钡,一般风化,SrO,0.46,0.6201268829003319
50,50,铅钡,一般风化,SrO,0.66,0.793762570297937
51部位1,51,铅钡,一般风化,SrO,0.39,0.7243275869948129
52,52,铅钡,一般风化,SrO,0.44,0.7278587733509936
54,54,铅钡,一般风化,SrO,0.88,0.8030543320030247
58,58,铅钡,一般风化,SrO,0.24,0.6303219408729636
02,2,铅钡,一般风化,P2O5,3.57,0.07250440252232737
08,8,铅钡,一般风化,P2O5,3.59,1.2328210911295652
08严重风化点,8,铅钡,严重风化,P2O5,7.56,4.42384558037193
11,11,铅钡,一般风化,P2O5,9.38,5.576021124661119
19,19,铅钡,一般风化,P2O5,8.83,2.5184052174591582
26,26,铅钡,一般风化,P2O5,3.13,1.3580164958458232
26严重风化点,26,铅钡,严重风化,P2O5,6.04,4.175389812969042
34,34,铅钡,一般风化,P2O5,0.34,-1.4310654242738883
36,36,铅钡,一般风化,P2O5,0.07,-1.8547907842725158
38,38,铅钡,一般风化,P2O5,0.48,-2.340546227198148
39,39,铅钡,一般风化,P2O5,1.16,-1.5229873888687302
40,40,铅钡,一般风化,P2O5,1.77,-0.7547007189828436
41,41,铅钡,一般风化,P2O5,7.46,6.689130981679511
43部位2,43,铅钡,一般风化,P2O5,12.83,9.798949107471115
48,48,铅钡,一般风化,P2O5,1.1,0.37461723899687804
49,49,铅钡,一般风化,P2O5,11.1,5.932158192366407
50,50,铅钡,一般风化,P2O5,6.34,3.4965873549999658
51部位1,51,铅钡,一般风化,P2O5,8.1,3.2705412227651176
51部位2,51,铅钡,一般风化,P2O5,8.75,6.935499217142102
52,52,铅钡,一般风化,P2O5,5.71,1.723152644144664
54,54,铅钡,一般风化,P2O5,4.24,1.7065521537332584
56,56,铅钡,一般风化,P2O5,2.54,-0.3403544142380053
58,58,铅钡,一般风化,P2O5,8.99,4.035017844367076
